0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.039278,0.038633,0.040244,0.039278,0.042178,0.038955,0.038955,0.039922,0.039278,0.039922,0.040244,0.038633,0.040566,0.038311,0.040244,0.038955,0.039922,0.038955,0.040566,0.0396,0.125954,0.572222,0.999157,1.334583,1.51019,1.585589,1.612655,1.615877,1.610399,1.600088,1.588811,1.574956,1.562389,1.549501,1.537256,1.525657,1.51309,1.502779,1.492146,1.480869,1.47088,1.461214,1.45058,1.441558,1.433181,1.424159,1.415137,1.407726,1.39967,1.391937,1.24404,0.5255,0.249684,0.149153,0.110809,0.095021,0.087288,0.08181,0.079877,0.07891,0.078266,0.077943,0.077299,0.076977,0.076977,0.077621,0.077943,0.076655,0.077621,0.076332,1.469269
0.07601,0.07601,0.076332,0.074399,0.074721,0.077621,0.076977,0.075043,0.07601,0.075043,0.075366,0.078266,0.076977,0.075366,0.075688,0.074399,0.075688,0.075688,0.075688,0.075366,0.13562,0.771351,1.173798,1.335872,1.399026,1.420292,1.420614,1.415459,1.406115,1.396448,1.386782,1.376793,1.366482,1.358105,1.349727,1.340705,1.333616,1.323628,1.31525,1.307195,1.299784,1.292373,1.284962,1.278517,1.271429,1.265307,1.258862,1.25274,1.245974,1.240496,1.20183,0.473946,0.212629,0.123698,0.090188,0.077943,0.069566,0.066344,0.064733,0.063444,0.064088,0.062477,0.062477,0.064733,0.062477,0.061833,0.062155,0.062155,0.062155,0.061833,1.455414
0.061188,0.062155,0.061188,0.060544,0.061188,0.060544,0.06151,0.060866,0.060544,0.060866,0.060866,0.060544,0.060866,0.060222,0.06151,0.061188,0.060544,0.061188,0.060222,0.061833,0.060222,0.590266,0.99529,1.168964,1.235985,1.259185,1.262729,1.259507,1.253707,1.247585,1.239529,1.233407,1.22793,1.219874,1.212786,1.207308,1.201508,1.196353,1.189908,1.184431,1.179275,1.173798,1.168642,1.163809,1.15962,1.155109,1.149309,1.14512,1.138998,1.134809,1.131265,0.476846,0.202319,0.11242,0.079232,0.066021,0.059577,0.056999,0.056033,0.056033,0.053455,0.058611,0.0541,0.054422,0.053133,0.055066,0.053133,0.0541,0.053455,0.052811,1.444781
0.050555,0.052811,0.055066,0.051844,0.051522,0.054422,0.0541,0.053455,0.052166,0.052166,0.052166,0.052166,0.052166,0.052811,0.052488,0.052811,0.052166,0.051522,0.051844,0.051844,0.053133,0.50359,0.891215,1.062955,1.131587,1.155753,1.162198,1.160264,1.156398,1.15092,1.147376,1.136743,1.135776,1.132232,1.125787,1.119021,1.116121,1.112899,1.107421,1.103232,1.100332,1.095177,1.089699,1.086799,1.083255,1.079711,1.074555,1.071978,1.068111,1.065211,1.061344,0.467824,0.19233,0.103721,0.072466,0.062155,0.054744,0.051522,0.049911,0.049911,0.048622,0.049266,0.052166,0.050233,0.049266,0.048944,0.047333,0.048622,0.047977,0.048944,1.422225
0.047333,0.049266,0.042822,0.059899,0.0425,0.0512,0.046044,0.051522,0.042822,0.051844,0.046044,0.047977,0.047655,0.047011,0.045722,0.047333,0.047655,0.047011,0.047655,0.047011,0.0483,0.379859,0.780695,0.974668,1.053289,1.084544,1.092921,1.093566,1.090988,1.086155,1.083255,1.077133,1.061989,1.074233,1.065211,1.061344,1.054578,1.054578,1.050711,1.043623,1.046522,1.034923,1.038467,1.031378,1.031056,1.026545,1.023967,1.020101,1.017523,1.015268,1.01269,0.493923,0.194263,0.101787,0.068599,0.056033,0.051522,0.048622,0.047011,0.046366,0.046044,0.046044,0.066344,0.017367,0.063766,0.0338,0.052488,0.038955,0.052166,0.038311,1.426737
0.045077,0.045077,0.045077,0.031544,0.052811,0.044111,0.048944,0.041211,0.045722,0.047011,0.041533,0.048622,0.039922,0.046044,0.041533,0.047011,0.042178,0.044111,0.043144,0.043789,0.0454,0.320572,0.716896,0.916992,1.000768,1.032345,1.042334,1.042656,1.041045,1.037823,1.035245,1.031378,1.026545,1.042978,0.994646,1.032345,1.002379,1.015268,0.999479,1.010757,0.993357,1.000446,0.99239,0.993035,0.98949,0.98659,0.983691,0.980791,0.978857,0.975635,0.97338,0.425291,0.169453,0.089865,0.063444,0.052488,0.047333,0.045722,0.043466,0.043466,0.043144,0.043144,0.043466,0.0425,0.025745,0.053455,0.0396,0.045722,0.038311,0.044433,1.41707
0.0425,0.041855,0.042178,0.041533,0.055711,0.021234,0.056999,0.030256,0.047011,0.037344,0.048944,0.035733,0.045722,0.037989,0.043466,0.039922,0.041533,0.0425,0.040889,0.044755,0.041211,0.303494,0.683064,0.879937,0.961458,0.994324,1.00399,1.007534,1.004957,1.002701,0.99819,0.995935,0.991424,0.98949,0.985624,0.967258,0.991746,0.97628,0.977568,0.969835,0.972413,0.967902,0.963391,0.96468,0.956302,0.958558,0.952113,0.952436,0.948247,0.947925,0.943736,0.454291,0.17493,0.092121,0.06151,0.050877,0.046044,0.042822,0.043144,0.041533,0.041211,0.041533,0.041211,0.040566,0.040244,0.049911,0.027356,0.055388,0.0309,0.045077,1.409015
0.039922,0.040566,0.039278,0.038955,0.041533,0.039922,0.021556,0.058288,0.031867,0.043789,0.034767,0.043789,0.037667,0.040566,0.040889,0.039922,0.042178,0.037989,0.041855,0.039278,0.040244,0.221329,0.610887,0.829994,0.92247,0.960169,0.975957,0.977568,0.97628,0.975635,0.971446,0.969191,0.964358,0.962747,0.960813,0.956302,0.954369,0.95018,0.956947,0.939869,0.945669,0.939547,0.941158,0.934714,0.936969,0.930847,0.930847,0.926981,0.925692,0.923436,0.92247,0.473946,0.178797,0.089543,0.060222,0.048622,0.043466,0.041855,0.042822,0.040566,0.040566,0.038955,0.0396,0.039278,0.0396,0.039278,0.038955,0.031222,0.038633,0.037989,1.402248
0.037989,0.038955,0.038955,0.038633,0.037989,0.038633,0.040244,0.039922,0.038311,0.034122,0.040244,0.038633,0.038311,0.035411,0.038955,0.037022,0.038633,0.037344,0.040566,0.038311,0.185241,0.569644,0.79745,0.895726,0.934392,0.949858,0.955336,0.953402,0.952436,0.949536,0.945991,0.943736,0.941158,0.937614,0.936003,0.934392,0.929558,0.927303,0.940514,0.92247,0.921503,0.918281,0.91957,0.913448,0.912159,0.910225,0.906359,0.905392,0.904748,0.900559,0.628287,0.222618,0.101787,0.064088,0.050233,0.044111,0.041211,0.040566,0.038633,0.038955,0.038955,0.038633,0.038311,0.038955,0.037344,0.037667,0.037022,0.038311,0.0367,0.043144,1.394515
0.037022,0.037344,0.037989,0.037989,0.037344,0.038633,0.037344,0.037344,0.027678,0.037022,0.032511,0.037344,0.034444,0.037344,0.0338,0.037667,0.037989,0.037022,0.037667,0.037022,0.123698,0.500045,0.753951,0.864471,0.910225,0.928269,0.933747,0.934069,0.932136,0.929881,0.926336,0.923436,0.921825,0.919247,0.916025,0.914092,0.912159,0.908614,0.909259,0.907648,0.90217,0.894759,0.898948,0.895726,0.895081,0.890248,0.89057,0.887993,0.886704,0.884448,0.80035,0.267728,0.114354,0.067633,0.051522,0.043144,0.041211,0.039922,0.038633,0.037667,0.037989,0.038633,0.037344,0.038311,0.037344,0.038955,0.037344,0.037344,0.037022,0.036055,1.389037
