,time(s) , sensor1(vol) , sensor2(vol) , sensor3(vol) ,  sensor4(vol) , pulse , DC1(vol) , DC2(vol) ,humidity
0,9.49,1.717375,1.5582,0.487479,1.656798,0.495857,1.288506,3.573657,1.419326
1,9.5,1.721241,1.557234,0.488768,1.655832,0.497468,1.288184,3.573335,1.41997
2,9.51,1.720275,1.556589,0.488768,1.655509,0.497145,1.287862,3.572046,1.421259
3,9.52,1.71963,1.557234,0.488446,1.656476,0.496501,1.288506,3.570435,1.423837
4,9.53,1.719952,1.556589,0.488123,1.653898,0.496823,1.288184,3.568824,1.421259
5,9.54,1.718664,1.560456,0.488446,1.657765,0.496823,1.290439,3.567212,1.421259
6,9.55,1.718019,1.559811,0.488123,1.658087,0.496823,1.289795,3.567212,1.420292
7,9.56,1.718664,1.558845,0.488123,1.657765,0.49779,1.290117,3.568179,1.420292
8,9.57,1.718341,1.559167,0.488446,1.656798,0.496179,1.289795,3.563024,1.420614
9,9.58,1.717375,1.557878,0.487479,1.656476,0.496501,1.288506,3.572046,1.420292
10,9.59,1.720919,1.557556,0.488768,1.655832,0.496179,1.287862,3.572046,1.421903
11,9.6,1.720597,1.557556,0.488768,1.656154,0.496501,1.288184,3.569468,1.422548
12,9.61,1.720275,1.556267,0.488446,1.653898,0.49779,1.287862,3.567535,1.419326
13,9.62,1.718986,1.560134,0.488768,1.658731,0.496179,1.290439,3.565601,1.41997
14,9.63,1.718341,1.559811,0.487801,1.658087,0.497468,1.289795,3.56689,1.41997
15,9.64,1.718664,1.559489,0.488446,1.658087,0.498112,1.289473,3.566246,1.420614
16,9.65,1.717697,1.558845,0.488123,1.65712,0.495534,1.289151,3.564313,1.421903
17,9.66,1.721563,1.557878,0.488768,1.655509,0.497145,1.28754,3.571401,1.421259
18,9.67,1.720919,1.557878,0.488768,1.655509,0.497468,1.288184,3.570435,1.421581
19,9.68,1.720275,1.557878,0.488446,1.656154,0.496501,1.287862,3.569146,1.420292
20,9.69,1.71963,1.568833,0.967258,2.825795,2.977881,1.288506,3.568179,1.417714
21,9.7,4.044735,4.046024,3.84754,4.26932,2.981747,1.289795,3.565601,1.420937
22,9.71,4.428494,4.376939,4.289297,4.489393,2.98207,1.291084,3.565279,1.420937
23,9.72,4.509048,4.447182,4.379839,4.545458,2.981425,1.290762,3.563668,1.421581
24,9.73,4.532247,4.464904,4.396272,4.560924,2.983036,1.290439,3.564313,1.421259
25,9.74,4.538691,4.465226,4.390795,4.562535,2.983358,1.290117,3.565924,1.420937
26,9.75,4.53708,4.460071,4.376939,4.559313,2.983036,1.289795,3.565279,1.41997
27,9.76,4.532569,4.452982,4.358251,4.552869,2.984003,1.290439,3.563668,1.420614
28,9.77,4.524836,4.444605,4.335051,4.546102,2.983036,1.289473,3.562701,1.420937
29,9.78,4.516136,4.435583,4.309596,4.538691,2.981425,1.289795,3.561413,1.421903
30,9.79,4.505503,4.427205,4.28253,4.530314,2.98207,1.290117,3.559802,1.421581
31,9.8,4.502603,4.417861,4.265131,4.521614,2.983358,1.289795,3.569468,1.420614
32,9.81,4.504214,4.408839,4.24322,4.512914,2.982392,1.288184,3.569146,1.41997
33,9.82,4.496803,4.399817,4.216154,4.504537,2.983036,1.288184,3.568501,1.41997
34,9.83,4.488104,4.391761,4.188121,4.496803,2.983358,1.288828,3.568179,1.41997
35,9.84,4.479726,4.385639,4.161055,4.490359,2.984003,1.288184,3.567535,1.422548
36,9.85,4.471993,4.379195,4.135278,4.481982,2.982714,1.287862,3.566568,1.421903
37,9.86,4.463293,4.369528,4.110467,4.472315,2.983036,1.287217,3.566568,1.41997
38,9.87,4.455882,4.358573,4.085657,4.461038,2.983681,1.286573,3.565601,1.419326
39,9.88,4.448793,4.350518,4.06278,4.454916,2.983358,1.286895,3.565279,1.418681
40,9.89,4.44106,4.351162,4.040547,4.448793,2.983036,1.289151,3.564313,1.418681
